feature,mean,scale
product_rating,4.4228391991045894,0.3669290576557349
total_reviews,6.442962711715739,2.019173033805156
discounted_price,4.298238297619256,1.1926099371313894
buy_box_availability,0.7306926999129462,0.44359990780755965
discount_ratio,0.06480895337838315,0.11012616933500885
availability_lag,0.0,1.0
review_social_proof,8.703513765835849,1.6329905841862606
deal_appeal,0.0018396205266633303,0.021872704248049133
promotion_strength,0.12872059504514072,0.2959423783377344
category_count,0.9759980101977366,0.15305520013313967
category_price_rank,0.5000155453301828,0.2886395941723647
